,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
727,"McKee, Mayumi Mochizuki",Japanese Studies,100.0,3.7024999999999997,8.0,155.0
728,"Turner, Christena L.",other,100.0,3.778,5.0,71.0
729,"Shuster, Alana",Judaic Studies,100.0,3.825,4.0,43.0
730,"Martin-Cabrera, Luis",other,95.625,3.6575,4.0,116.0
731,"Janusz, Andrew James",Latin American Studies,94.0,3.16,1.0,94.0
732,"Ng, Kwai",other,90.55,3.4350000000000005,4.0,140.0
733,"Styler, William Francis",Linguistics,100.0,3.67,2.0,238.0
734,"Garellek, Marc",Linguistics,99.25,3.4699999999999998,4.0,234.0
735,"Lott, Margaret S.",Linguistics,89.5,3.6,2.0,48.0
736,"Bergen, Leon",Linguistics,91.5,3.495,4.0,428.0
737,"Kluender, Robert",Linguistics,95.22500000000001,3.085,8.0,280.0
738,"Goodall, Grant Todd",other,98.5,3.6566666666666667,3.0,208.0
739,"Biswas, Priyanka",Linguistics,87.93333333333334,3.476666666666667,6.0,784.0
740,"Alicio, Atilio",Linguistics,100.0,3.4683333333333324,12.0,200.0
741,"Hill, Kimloan T.V.",Linguistics,98.75,3.7874999999999996,16.0,274.0
742,"Sadegholvad, Elham",Linguistics,100.0,3.8400000000000003,18.0,304.0
743,"McCollum, Adam Gatlin",Linguistics,100.0,3.67,2.0,46.0
744,"Aguilar, Andres Ehecatl",Linguistics,94.0,3.645,4.0,508.0
745,"El Cheddadi, Youniss",Linguistics,100.0,4.0,2.0,26.0
746,"Matchin, William Gerald",Linguistics,100.0,3.57,2.0,120.0
747,"Caballero, Gabriela Hernandez",Linguistics,93.5,3.63,2.0,146.0
748,"Caponigro, Ivano",Linguistics,93.75,3.155,4.0,326.0
749,"McIntosh, Justin Daniel",Linguistics,97.6,3.71,4.0,88.0
750,"Wittenberg, Eva H",Linguistics,90.9,3.5,2.0,98.0
751,"Bakovic, Eric John",Linguistics,95.95,3.4299999999999997,4.0,178.0
752,"Ilkbasaran, Deniz",Linguistics,95.1,3.22,2.0,270.0
753,"Kehler, Andrew Scott",Linguistics,100.0,3.41,2.0,268.0
754,"Micklos, Ashley M.",other,100.0,3.543333333333333,3.0,86.0
755,"Mayberry, Rachel",Linguistics,85.4,3.28,2.0,270.0
756,"Sarkar, Sutanu",Mechanical & Aerospace Eng.,58.6,3.0,1.0,88.0
757,"Chen, Renkun",Mechanical & Aerospace Eng.,93.8,3.44,1.0,213.0
758,"Wang, Qingyang",Mechanical & Aerospace Eng.,100.0,3.44,1.0,13.0
759,"Lasheras, Juan C.",Mechanical & Aerospace Eng.,93.9,3.24,1.0,117.0
760,"Saintillan, David",Mechanical & Aerospace Eng.,93.2,2.88,1.0,215.0
761,"McEneaney, William Michael",Mechanical & Aerospace Eng.,91.1,3.62,1.0,210.0
762,"Nomura, Keiko K.",Mechanical & Aerospace Eng.,85.56666666666666,3.266666666666667,3.0,592.0
763,"Pawlak, Geno Ronald",Mechanical & Aerospace Eng.,77.65,3.415,2.0,114.0
764,"Loh, Chin Hsiung",other,4.7,2.4966666666666666,3.0,106.0
765,"Amaddeo, Carmen N.",other,90.06666666666666,3.1266666666666665,3.0,158.0
766,"Zhu, Qiang",other,97.03333333333335,3.1966666666666668,3.0,305.0
767,"Bahadori, Mohammad Yousef",Mechanical & Aerospace Eng.,87.97500000000001,3.02,8.0,448.0
768,"Bewley, Thomas R",Mechanical & Aerospace Eng.,44.0,2.78,1.0,69.0
769,"Talke, Frank E",Mechanical & Aerospace Eng.,70.2,3.26,1.0,125.0
770,"Friend, James Robert",other,82.7,3.1933333333333334,3.0,243.0
771,"Delson, Nathan Joseph",Mechanical & Aerospace Eng.,80.75999999999999,3.556,5.0,228.0
772,"Xu, Sheng",other,94.35,3.7025,4.0,159.0
773,"Anderson, Mark Ronald",Mechanical & Aerospace Eng.,100.0,3.8019999999999996,5.0,362.0
774,"McKittrick, Joanna M",Mechanical & Aerospace Eng.,79.6,3.59,1.0,134.0
775,"Cai, Shengqiang",Mechanical & Aerospace Eng.,79.6,3.785,2.0,197.0
776,"Lucas, Andrew J.",other,99.4,3.425,2.0,114.0
777,"Tolley, Michael Thomas",Mechanical & Aerospace Eng.,98.0,3.61,2.0,133.0
778,"Gibson, Carl H.",Mechanical & Aerospace Eng.,84.3,3.8200000000000003,3.0,206.0
779,"Pham, Hieu Tan",Mechanical & Aerospace Eng.,93.53333333333335,3.4333333333333336,3.0,502.0
780,"Coimbra, Carlos F.",Mechanical & Aerospace Eng.,100.0,4.0,2.0,41.0
781,"Abi Ghanem, Maroun",Mechanical & Aerospace Eng.,100.0,3.43,1.0,22.0
782,"Lubarda, Marko",other,98.225,3.5112499999999995,8.0,377.0
783,"Bandaru, Prabhakar",Mechanical & Aerospace Eng.,83.0,3.25,2.0,102.0
784,"Ezunkpe, Yawo Semanu",Mechanical & Aerospace Eng.,84.2,3.21,1.0,46.0
785,"Eliasson, Veronica",other,92.30000000000001,2.8616666666666664,6.0,206.0
786,"Evdokimenko, Ekaterina",other,87.13333333333333,3.8633333333333333,3.0,51.0
787,"Li, Mengying",Mechanical & Aerospace Eng.,97.3,3.43,1.0,42.0
788,"Carreira Pedro, Hugo T",Mechanical & Aerospace Eng.,100.0,3.25,1.0,9.0
789,"Becker, Janet Maria",other,88.5,3.3575,4.0,279.0
790,"Anderegg, Francois",other,100.0,3.675,2.0,18.0
791,"Arefiev, Alexey",Mechanical & Aerospace Eng.,90.6,3.16,1.0,55.0
792,"Nemat-Nasser, Siavouche",other,91.26666666666667,3.4499999999999997,3.0,490.0
793,"Harrington, Steven Merrill",Mechanical & Aerospace Eng.,100.0,3.4,1.0,13.0
794,"Tustaniwskyj, Jerry I",Mechanical & Aerospace Eng.,70.86666666666666,3.44,3.0,97.0
795,"Gillett, David S",Mechanical & Aerospace Eng.,100.0,3.58,1.0,30.0
796,"Beg, Farhat N.",Mechanical & Aerospace Eng.,79.2,3.24,1.0,161.0
797,"Boechler,nicholas Sebastia",Mechanical & Aerospace Eng.,95.4,3.285,2.0,182.0
798,"Garay, Javier",Mechanical & Aerospace Eng.,88.0,3.36,1.0,92.0
799,"Miller, David R.",other,69.5,3.2199999999999998,2.0,232.0
800,"Rangamani, Padmini",Mechanical & Aerospace Eng.,94.9,3.18,1.0,119.0
801,"Sanchez, Antonio Luis",Mechanical & Aerospace Eng.,89.3,3.34,1.0,90.0
802,"Krasheninnikov, Sergei",Mechanical & Aerospace Eng.,53.6,3.12,1.0,87.0
803,"Tynan, George Robert",Mechanical & Aerospace Eng.,82.0,3.29,1.0,112.0
804,"Nesterenko, Vitali F",Mechanical & Aerospace Eng.,62.5,2.82,1.0,134.0
805,"Cortes, Jorge",Mechanical & Aerospace Eng.,95.6,3.48,1.0,154.0
806,"de Callafon, Raymond A",Mechanical & Aerospace Eng.,62.45,3.225,2.0,352.0
807,"Martinez, Sonia",Mechanical & Aerospace Eng.,94.4,3.25,1.0,49.0
808,"Gravish, Nicholas G",Mechanical & Aerospace Eng.,100.0,3.38,1.0,38.0
809,"Graeve, Olivia A",Mechanical & Aerospace Eng.,64.3,3.64,1.0,93.0
810,"Seshadri, Kalyanasundaram",Mechanical & Aerospace Eng.,56.3,3.5,1.0,122.0
811,"Popescu, Cristian D.",Mathematics,93.43333333333334,3.0833333333333335,3.0,197.0
812,"Varma, Ila K",Mathematics,80.0,2.75,1.0,24.0
813,"Green, Nathan E",Mathematics,95.5,3.38,1.0,184.0
814,"Au, Benson C",Mathematics,62.55,2.98,2.0,182.0
815,"Pelayo, Alvaro",Mathematics,97.33333333333333,2.983333333333333,3.0,173.0
816,"Zelmanov, Efim I",Mathematics,74.5,2.925,2.0,231.0
817,"Mohammadi, Amir",Mathematics,77.25,3.2350000000000003,2.0,145.0
818,"Sorensen, Claus M",Mathematics,80.89999999999999,3.066666666666667,3.0,214.0
819,"Swanson, Joshua P",Mathematics,80.5,3.1,1.0,84.0
820,"Knop, Aleksandr",Mathematics,72.82,3.132,5.0,587.0
821,"Anzaldo, Leesa B",Mathematics,96.45,3.275,2.0,274.0
822,"Novak, Jonathan I",Mathematics,90.53333333333335,3.3666666666666667,3.0,523.0
823,"Bowers, Adam R.",Mathematics,91.725,3.12,4.0,817.0
824,"Savvas, Michail",Mathematics,89.7,3.28,1.0,188.0
825,"Deotte, Christopher George",Mathematics,75.15,3.255,2.0,575.0
826,"De Vleming, Kristin Elizab",Mathematics,87.8,2.99,1.0,303.0
827,"Tucker, Henry Jackson",Mathematics,67.8,3.1366666666666667,3.0,772.0
828,"Um, Ko Woon",Mathematics,77.57142857142857,2.9557142857142855,7.0,1421.0
829,"Quarfoot, David James",Mathematics,90.10000000000001,2.978571428571428,7.0,1716.0
830,"Elgindi, Tarek M",Mathematics,85.0,3.025,2.0,43.0
831,"McKernan, James",Mathematics,80.96666666666667,3.4933333333333336,3.0,55.0
832,"Meyer, David A.",Mathematics,87.55000000000001,3.3150000000000004,4.0,307.0
833,"Driver, Bruce K",Mathematics,94.06666666666666,3.5,3.0,177.0
834,"Bejenaru, Ioan",Mathematics,90.5,2.95,1.0,52.0
835,"Zlatos, Andrej",Mathematics,96.15,3.21,2.0,43.0
836,"Wenzl, Hans G",Mathematics,67.1,3.215,2.0,394.0
837,"Buskin, Nikolay",Mathematics,62.224999999999994,3.0575,4.0,483.0
838,"Sterbenz, Jacob",Mathematics,81.06666666666666,3.033333333333333,3.0,286.0
839,"Rabin, Jeffrey Mark",Mathematics,98.475,3.29,4.0,179.0
840,"Wear, Peter Joseph",Mathematics,51.2,3.2,1.0,129.0
841,"Cloninger, Alexander",Mathematics,92.75,3.0774999999999997,4.0,624.0
842,"Behzadan, Ali",Mathematics,98.8,3.7433333333333336,3.0,311.0
843,"Saab, Rayan",Mathematics,92.56666666666666,3.33,3.0,397.0
844,"Cheng, Hsiao-Bing",Mathematics,78.15,2.995,2.0,400.0
845,"Eggers, John Dietrich",Mathematics,77.0,2.9920000000000004,5.0,1001.0
846,"Tamam, Nattalie",Mathematics,35.0,3.19,1.0,183.0
847,"Zheng, Tianyi",Mathematics,47.25,3.17,2.0,378.0
848,"Zhang, Danna",Mathematics,98.05,3.545,2.0,269.0
849,"Sam, Steven V",Mathematics,82.4,2.95,1.0,103.0
850,"Rhoades, Brendon Patrick",Mathematics,99.05,3.2800000000000002,2.0,158.0
851,"Xu, Lingling",Mathematics,40.3,3.08,1.0,147.0
852,"Stapleton, David John",Mathematics,91.35,3.16,2.0,352.0
853,"Ciotti, Benjamin",Mathematics,79.89999999999999,2.85,3.0,450.0
854,"Ferrara, Joseph William",Mathematics,54.9,3.19,1.0,188.0
855,"Ben-Ezra, David El-Chai",Mathematics,90.16666666666667,3.5400000000000005,3.0,688.0
856,"Tesler, Glenn",Mathematics,85.06666666666666,3.4433333333333334,3.0,581.0
857,"Strahl, Perry Robert",Mathematics,76.83333333333334,3.1544444444444446,9.0,1217.0
858,"Dewey, Edward Harold",Mathematics,67.89999999999999,3.0866666666666664,3.0,367.0
859,"Wang, Lujia",Mathematics,45.8,3.38,2.0,262.0
860,"Hammock, Frances H",Mathematics,94.1,3.65,1.0,130.0
861,"Kitsela, Roman",Mathematics,88.4,3.3499999999999996,2.0,258.0
862,"Lu, Shaoying",Mathematics,54.4,3.2,1.0,191.0
863,"Agler, Jim",Mathematics,80.0,3.44,1.0,60.0
864,"Tu, Yucheng",Mathematics,57.6,3.11,1.0,183.0
865,"Mirzaei, Mozhgan",Mathematics,88.2,3.6,2.0,170.0
866,"Conder, Jonathan Edward",Mathematics,17.2,2.42,1.0,125.0
867,"Zhang, Yongjia",Mathematics,62.0,2.98,1.0,157.0
868,"Malvenuto, Claudia",Mathematics,63.0,3.48,2.0,161.0
869,"Rotar, Vladimir",Mathematics,87.175,3.2125,4.0,310.0
870,"Haff, Leonard R.",Mathematics,100.0,3.33,1.0,36.0
871,"Chow, Bennett",Mathematics,58.416666666666664,3.293333333333333,6.0,658.0
872,"Carter, Anne Toulson",Mathematics,89.89999999999999,3.53,3.0,572.0
873,"Thilmany, Francois Etienne Ch",Mathematics,100.0,3.83,1.0,12.0
874,"Ceccherini-Silberstein, Tullio",Mathematics,83.19999999999999,2.5700000000000003,2.0,102.0
875,"Verstraete, Jacques Allan",Mathematics,97.5,3.56,1.0,150.0
876,"Mohanty, Sara",Mathematics,78.75,3.25,2.0,133.0
877,"Kedlaya, Kiran S.",Mathematics,76.10000000000001,3.39,3.0,234.0
878,"Salehi Golsefidy, Alireza",Mathematics,79.2,2.84,1.0,141.0
879,"Curry, Sean N",Mathematics,95.675,3.1525,4.0,591.0
880,"Snellman Jr., Robert Allen",Mathematics,98.375,3.54,4.0,922.0
881,"Petkov, Vladislav V",Mathematics,65.75,3.16,4.0,595.0
882,"Licht, Martin W",Mathematics,56.06666666666666,3.153333333333333,3.0,462.0
883,"Aghajani, Mohammadreza",Mathematics,88.0,3.4066666666666667,3.0,575.0
884,"Huynh, Thang L",Mathematics,75.06666666666666,3.2300000000000004,3.0,569.0
885,"Buss, Samuel R",Mathematics,92.05,3.45,2.0,93.0
886,"Li, Bo",Mathematics,100.0,3.69,1.0,39.0
887,"Nie, Jiawang",Mathematics,79.4,3.325,2.0,187.0
888,"Cheng, Li-Tien",Mathematics,86.25,3.1550000000000002,2.0,219.0
889,"Szypowski, Ryan S.",Mathematics,97.75000000000001,3.4475000000000002,4.0,757.0
890,"Fitzsimmons, Patrick J",Mathematics,65.0,3.02,1.0,215.0
891,"Zhou, Wenxin",Mathematics,47.36666666666667,3.3966666666666665,3.0,467.0
892,"Bradic, Jelena",Mathematics,75.83333333333333,3.6033333333333335,3.0,326.0
893,"Aamari, Eddie",Mathematics,68.26666666666667,3.2733333333333334,3.0,413.0
894,"Arias-Castro, Ery",Mathematics,81.3,3.62,1.0,126.0
895,"Bucur, Alina Ioana",Mathematics,80.44999999999999,3.705,2.0,303.0
896,"Charlesworth, Ian L",Mathematics,42.9,2.7800000000000002,2.0,212.0
897,"Allen, Grant Warren",Mathematics,90.45,3.35,2.0,491.0
898,"Dilts, James Paul",Mathematics,81.6,3.1399999999999997,2.0,470.0
899,"Rogalski, Daniel",Mathematics,96.9,3.855,2.0,43.0
900,"Ioana, Adrian",Mathematics,100.0,3.62,1.0,34.0
901,"Lamel, Bernhard R",Mathematics,72.8,3.46,1.0,162.0
902,"Suk, Andrew Hoon",Mathematics,90.2,3.3,1.0,104.0
903,"Kemp, Todd Aahron",Mathematics,95.1,3.13,2.0,428.0
904,"Kolesnikov, Pavel",Mathematics,75.95,3.275,2.0,307.0
905,"Schweinsberg, Jason",Mathematics,96.6,3.49,1.0,196.0
906,"Politis, Dimitris",Mathematics,52.2,3.38,1.0,86.0
907,"duBois, Page Ann",other,94.26666666666667,3.6666666666666665,3.0,404.0
908,"Chang, Edmond Yi-Teh",Making of the Modern World,93.78571428571429,3.2071428571428577,7.0,1821.0
909,"Myerston Santana, Jacobo",other,91.8,3.752,5.0,360.0
910,"Keller-Lapp, Heidi M.",Making of the Modern World,87.4,3.3,1.0,203.0
911,"Palhegyi, Joel David",Making of the Modern World,85.5,3.35,1.0,167.0
912,"Cohen, Richard S.",other,94.75,3.5949999999999998,2.0,343.0
913,"Frank, Ross H.",Making of the Modern World,100.0,3.75,1.0,11.0
914,"Wastal, Carrie King",Muir College,96.45,3.9,2.0,49.0
915,"Karis, Aleck",Music,76.15,3.165,2.0,63.0
916,"Murphy-Mancini, Justin Joseph",Music,70.0,3.5,1.0,33.0
917,"Rubio, Juan David",Music,94.60000000000001,3.5833333333333335,3.0,215.0
918,"Ohnishi, Takae",Music,100.0,3.9225000000000003,8.0,126.0
919,"Kenyatta, Kamau",Music,99.8125,3.95625,8.0,259.0
920,"Nussman, Jonathan Banks",Music,96.96666666666665,3.6799999999999997,3.0,483.0
921,"Hochman, Joshua David",Music,81.56666666666666,3.4766666666666666,3.0,559.0
922,"Burr, Anthony I",Music,96.625,3.6475,4.0,793.0
923,"Puckette, Miller S.",Music,72.33333333333333,3.466666666666667,3.0,225.0
924,"Hsu, Jennifer Shanchen",Music,100.0,3.88,1.0,24.0
925,"Clarino, Christopher Richard",Music,67.9,3.47,1.0,125.0
926,"Miller, Caroline Louise",Music,75.83333333333334,3.7066666666666666,3.0,277.0
927,"Carlson, Erik Norman",Music,100.0,3.8850000000000002,6.0,126.0
928,"Liang, Lei",Music,94.45,3.9450000000000003,2.0,26.0
929,"Digney, Fiona Ruth",Music,68.2,3.575,2.0,338.0
930,"Diels, Natacha D.",Music,89.3,3.56,1.0,134.0
931,"Larson, Philip Clarion",Music,99.21111111111111,3.94,9.0,245.0
932,"Schick, Steven",Music,94.9,3.9699999999999998,4.0,167.0
933,"Kline, Matthew John",Music,97.63333333333333,4.0,3.0,95.0
934,"Anderson, Kenneth",Music,99.53333333333335,3.975,6.0,1390.0
935,"Beauton, James Alan",Music,100.0,3.983333333333333,3.0,105.0
936,"Seshadri, Kartik",Music,94.03333333333335,3.985,6.0,273.0
937,"Curbelo Gonzalez, Elisabet",Music,100.0,3.67,1.0,22.0
938,"Aoki Navarro, Fernanda",Music,66.65,3.585,2.0,26.0
939,"Abbasi Hafshejani, Anahita",Music,100.0,3.93,1.0,30.0
940,"Garcia-Munoz, Issac",Music,100.0,4.0,1.0,23.0
941,"Charney, Joshua Jamsheed",Music,97.7,3.895,2.0,288.0
942,"Chodos, Asher Tobin",Music,71.9,3.6,2.0,47.0
943,"Lytle, Cecil William",Music,100.0,3.73,2.0,54.0
944,"Terrazas Perez, Wilfrido D",Music,98.95,3.925,2.0,134.0
945,"Cimini, Amy Marie",Music,73.6,3.49,2.0,216.0
946,"Haywood, Kevin Matthew",Music,100.0,3.31,1.0,28.0
947,"Zyskowski, Colin A",Music,85.7,3.83,1.0,29.0
948,"Smyth, Tamara R.",Music,80.0,3.25,1.0,23.0
949,"Moellenberg, Todd Michael",Music,97.55,3.7199999999999998,2.0,148.0
950,"Guy, Nancy",Music,91.65,3.87,2.0,134.0
951,"Steiger, Rand",Music,100.0,3.67,1.0,5.0
952,"Stevens, Jane",Music,60.0,3.67,1.0,12.0
953,"Nestor, Ryan Douglas",Music,97.7,3.57,1.0,191.0
954,"Thorpe, Suzanne",Music,76.1,3.65,1.0,133.0
955,"Chen, Zheng",NanoEngineering,84.0,3.5300000000000002,2.0,149.0
956,"Powell, Alyssa",NanoEngineering,100.0,3.645,2.0,98.0
957,"Russ, Benjamin Edward",NanoEngineering,79.96666666666665,3.4933333333333336,3.0,306.0
958,"Zhang, Liangfang",NanoEngineering,82.8,3.4050000000000002,2.0,96.0
959,"Lubarda, Vlado",other,85.82857142857142,3.579999999999999,7.0,290.0
960,"Drews, Aaron",other,98.73333333333333,3.461111111111111,9.0,458.0
961,"Chen, Yi",Anthropology,80.36666666666666,3.2899999999999996,3.0,150.0
962,"Horvath, Stephen",Anthropology,87.8,3.02,1.0,73.0
963,"Pascal, Tod A",Anthropology,75.0,3.29,1.0,61.0
964,"Opatkiewicz, Justin Paul",NanoEngineering,97.0,3.3274999999999997,4.0,272.0
965,"Herz, Richard K",other,100.0,3.76,2.0,25.0
966,"Safari, Iman",NanoEngineering,76.65,3.165,2.0,73.0
967,"Talbot, Jan B",NanoEngineering,55.400000000000006,3.6,2.0,208.0
968,"Lipomi, Darren John",other,99.03333333333335,3.39,3.0,179.0
969,"Ong, Shyue Ping",other,83.3,3.233333333333333,3.0,191.0
970,"Chen, Shaochen",Anthropology,87.5,3.81,1.0,43.0
971,"Tao, Andrea Rae",Anthropology,71.4,3.38,1.0,24.0
972,"Sirbuly, Donald",Anthropology,100.0,3.6,1.0,18.0
973,"Meng, Y.Shirley",Anthropology,100.0,3.5,1.0,41.0
974,"Liu, Ping",NanoEngineering,85.4,3.19,1.0,69.0
975,"Yang, Kesong",other,89.95,3.735,2.0,40.0
976,"Luo, Jian",Anthropology,85.4,3.75,2.0,26.0
977,"Cubukcu, Ertugrul",Anthropology,95.0,3.4850000000000003,2.0,85.0
978,"Fenning, David",Anthropology,77.8,3.06,1.0,47.0
979,"Meyers, Marc",Anthropology,62.5,3.13,1.0,15.0
980,"Sher, Gila",History,87.5,3.505,2.0,80.0
981,"Grush, Rick Scott",History,96.55000000000001,3.2825,4.0,774.0
982,"Anagnostopoulos, G. H.",History,91.39999999999999,3.3666666666666667,3.0,132.0
983,"McKenzie, Kerry V.",History,95.55,3.325,2.0,114.0
984,"Lamey, Andy M.",History,98.15714285714286,3.2457142857142856,7.0,569.0
985,"Carr, Jennifer Rose",History,93.25,3.36,2.0,208.0
986,"Fulkerson, Matthew Todd",History,90.89999999999999,3.4466666666666668,3.0,111.0
987,"Nelkin, Dana Kay",History,94.60000000000001,3.3166666666666664,3.0,90.0
988,"Callender, Craig Adam",History,92.85,3.255,2.0,66.0
989,"Arneson, Richard J.",History,67.93333333333334,2.8966666666666665,3.0,389.0
990,"Wonderly, Monique L.",History,100.0,3.6,1.0,37.0
991,"Speitel, Sebastian Georg Wern",History,100.0,3.67,1.0,28.0
992,"Joyce, Kathryn Elizabeth",History,100.0,2.8,1.0,16.0
993,"Martin, Noel B",History,100.0,3.4,1.0,32.0
994,"Bazargan-Forward, Saba",History,96.5,3.215,4.0,431.0
995,"Winning, Richard Jason",History,75.0,3.57,1.0,35.0
996,"Tracz, Robert Brian",History,100.0,3.0,1.0,20.0
997,"Knutzen, Jonathan",History,100.0,3.14,1.0,33.0
998,"Stringer, Ryan Matthew",History,100.0,3.24,1.0,96.0
999,"Rutherford, Donald Paul",History,100.0,3.1733333333333333,3.0,103.0
1000,"Hardimon, Michael O.",History,85.10000000000001,3.236666666666667,3.0,89.0
1001,"Cohen, Jonathan David",History,77.44999999999999,3.465,2.0,110.0
1002,"Brandt, Reuven A",History,96.35,3.295,2.0,172.0
1003,"Allais, Lucy L.",History,100.0,3.33,1.0,64.0
1004,"Greene, Blythe Anastasia",History,92.3,3.55,1.0,32.0
1005,"Dougherty II, John Edward",History,87.1,3.6,1.0,69.0
1006,"Santorio, Paolo",History,96.0,3.38,1.0,28.0
1007,"Brink, David O.",History,100.0,3.67,1.0,33.0
1008,"Cartwright, Nancy D.",History,68.4,3.61,1.0,37.0
1009,"Doppelt, Gerald D.",History,45.8,3.16,1.0,174.0
1010,"Lin, Tongyan",Physics,80.6,2.73,2.0,123.0
1011,"Chivukula, Raja S",Physics,90.0,3.4,1.0,33.0
1012,"Green, Daniel Richard",Physics,76.9,2.64,1.0,60.0
1013,"Tytler, David Robert",Physics,57.800000000000004,3.353333333333333,3.0,245.0
1014,"Averitt, Richard Douglas",Physics,98.35,3.425,2.0,91.0
1015,"Arnold, Kam S",Physics,100.0,3.15,2.0,82.0
1016,"Konopacky, Quinn Morgan",Physics,99.1,3.38,1.0,159.0
1017,"Surko, Clifford M",Physics,89.3,2.995,2.0,196.0
1018,"Kuti, Julius",Physics,100.0,3.6666666666666665,3.0,39.0
1019,"Palacci, Jeremie",Physics,64.0,2.39,1.0,93.0
1020,"Wright, Shelley Adams",Physics,93.65,3.2199999999999998,2.0,43.0
1021,"Dudko, Olga",Physics,87.5,3.33,1.0,26.0
1022,"Paddock, Mark",Physics,76.525,3.3074999999999997,4.0,1274.0
1023,"Burgasser, Adam Jonathan",Physics,86.96666666666665,3.17,3.0,591.0
1024,"Tsai, Philbert S",Physics,97.025,3.2975000000000003,4.0,1345.0
1025,"Yagil, Avi",Physics,64.04444444444444,3.305555555555556,9.0,4087.0
1026,"Ni, Kaixuan",Physics,89.73333333333333,3.186666666666666,3.0,446.0
1027,"Keres, Dusan",Physics,90.35,3.175,2.0,670.0
1028,"Groisman, Alexander",Physics,60.23333333333333,3.0866666666666664,3.0,671.0
1029,"Shpyrko, Oleg",Physics,97.09999999999998,3.19,3.0,1038.0
1030,"Branson, James G",Physics,50.199999999999996,3.25,3.0,184.0
1031,"Butov, Leonid",Physics,78.96666666666667,3.6033333333333335,3.0,190.0
1032,"Shotwell, Brian",Physics,92.1,3.01,4.0,566.0
1033,"Coil, Alison",Physics,89.19999999999999,3.42,2.0,366.0
1034,"Lubin, Dan",Physics,70.85,3.4749999999999996,2.0,99.0
1035,"Yang, Yi",Physics,70.8,3.48,6.0,273.0
1036,"Bibby, Yu",Physics,61.5,3.17,1.0,48.0
1037,"Sheldon, Forrest Crawford",Physics,95.8,3.37,2.0,106.0
1038,"Rozenberg, Marcelo Javier",Physics,36.25,2.935,2.0,136.0
1039,"Chakraborty, Subrata",Physics,74.05,3.125,2.0,202.0
1040,"Meill, Alexander Warren",Physics,100.0,3.3600000000000003,2.0,144.0
1041,"Malkov, Mikhail Alexandr",Physics,7.1,2.67,1.0,22.0
1042,"Ben-Zion, Daniel",Physics,80.0,3.08,1.0,55.0
1043,"Fang, Zheng",Physics,80.0,2.9,1.0,36.0
1044,"Michelsen, Eric Leonard",Physics,100.0,2.67,1.0,23.0
1045,"Dubin, Daniel Herschel",Physics,94.45,2.63,2.0,83.0
1046,"Kleinfeld, David",Physics,87.0,3.21,1.0,77.0
1047,"Maple, M. Brian",Physics,100.0,3.73,2.0,42.0
1048,"Intriligator, Kenneth Arthur",Physics,100.0,2.8,1.0,12.0
1049,"Friedman, Andrew Samuel",Physics,86.7,3.57,1.0,16.0
1050,"Bott-Suzuki, Simon Charles",Physics,70.4,3.13,1.0,179.0
1051,"Popmintchev, Tenio",Physics,86.25,3.31,2.0,525.0
1052,"Barreiro Guerrero, Julio",Physics,80.3,3.21,1.0,239.0
1053,"Wuerthwein, Frank",Physics,75.3,3.29,1.0,402.0
1054,"Frano Pereira, Alex M",Physics,95.5,3.44,2.0,395.0
1055,"Hirsch, Jorge Eduardo",Physics,43.2,2.715,2.0,295.0
1056,"Manohar, Aneesh Vasant",Physics,100.0,3.11,2.0,77.0
1057,"Jenkins, Elizabeth",Physics,74.2,2.77,1.0,89.0
1058,"Wu, Congjun",Physics,70.0,2.5,1.0,62.0
1059,"Salmon, Richard L.",other,100.0,3.625,2.0,18.0
1060,"Smith, Douglas E",Physics,100.0,3.85,1.0,25.0
1061,"Grover, Tarun",Physics,100.0,3.55,1.0,15.0
1062,"Sharpee, Tatyana",Physics,75.0,3.67,1.0,14.0
1063,"Kritsuk, Alexei",Physics,72.3,3.19,1.0,152.0
1064,"Rappel, Wouter Jan",Physics,93.2,3.33,1.0,162.0
1065,"Sandstrom, Karin Marie",Physics,90.4,3.38,1.0,110.0
1066,"Ban, Pamela M",Linguistics,95.0,3.69,1.0,121.0
1067,"Fletcher, Nathan",other,97.425,3.3925,4.0,350.0
1068,"Gause, LaGina",Linguistics,96.15,3.1550000000000002,2.0,73.0
1069,"Smith, Glenn Chatmas",Linguistics,98.88571428571427,3.6799999999999997,7.0,508.0
1070,"Bergman, Matthew Edward",other,80.20000000000002,3.482857142857143,7.0,197.0
1071,"Abrajano, Marisa",Linguistics,88.1,3.67,1.0,142.0
1072,"Goldman, Harvey Stern",other,94.10000000000001,3.563333333333333,3.0,104.0
1073,"Magagna, Victor Valentine",Linguistics,99.2625,3.935,8.0,3325.0
1074,"Ferree, Karen E",Linguistics,94.19999999999999,3.575,2.0,257.0
1075,"Nichter, Simeon C",Linguistics,97.25,3.585,2.0,111.0
1076,"Saiegh, Sebastian",Linguistics,91.65,3.325,2.0,56.0
1077,"Feinberg, Richard Edward",Linguistics,85.7,3.67,1.0,41.0
1078,"Nellis, Gareth Hb",Linguistics,85.7,3.25,1.0,21.0
1079,"Sharpless, Isaac Walling",Linguistics,94.66666666666667,3.456666666666667,3.0,99.0
1080,"Merrell, Brandon",Linguistics,92.9,3.705,2.0,120.0
1081,"Vaughn, Abigail Leigh",Linguistics,92.7,3.436666666666667,3.0,185.0
1082,"Hajnal, Zoltan Lloyd",other,84.5,2.955,2.0,137.0
