,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
172,"Komiyama, Takaki",Biology,92.9,3.27,1.0,182.0
173,"Schroeder, Julian I",Biology,88.8,3.39,1.0,320.0
174,"Lauberth, Shannon Marie",Biology,86.4,3.36,1.0,280.0
175,"McDonnell, Lisa Marie",Biology,93.5,3.32,1.0,48.0
176,"Zhang, Dong-Er",Biology,97.4,3.46,1.0,44.0
177,"Kadonaga, James T",Biology,96.7,3.64,1.0,184.0
178,"David, Michael",Biology,100.0,3.66,1.0,107.0
179,"Allen, Eric",other,95.35,3.5549999999999997,2.0,486.0
180,"Bennett, Eric J",Biology,95.8,3.22,1.0,101.0
181,"Wang, Jing",Biology,88.2,3.18,1.0,77.0
182,"Ackerman, Susan",Biology,83.3,3.91,1.0,20.0
183,"Newsam, John",other,100.0,3.96,2.0,46.0
184,"Muotri, Alysson",Biology,83.3,3.91,1.0,34.0
185,"Bigham, David Joseph",Sixith College,94.96,3.5060000000000002,5.0,766.0
186,"Bronstein, Phoebe Malan",Sixith College,94.2,3.645,4.0,635.0
187,"Glaser, Amelia",other,92.63333333333333,3.6500000000000004,6.0,637.0
188,"Ano, Michael Shigeya",Sixith College,74.1,3.18,1.0,152.0
189,"Pantoja, Jennifer Metten",Sixith College,95.76666666666665,3.6333333333333333,3.0,556.0
190,"Smith, Ashley Elizabeth",other,92.08000000000001,3.7159999999999997,5.0,721.0
191,"Zhang, Kefei Kevin",other,95.0,3.665,2.0,214.0
192,"Sartor, Alexandra",Sixith College,95.4,3.7199999999999998,2.0,380.0
193,"Godino, Job Gideon",Sixith College,100.0,4.0,1.0,8.0
194,"Trigilio, Michael",other,91.88,3.554,5.0,243.0
195,"Whitley, Leila Marie",Critical Gender Studies,90.9,3.65,2.0,55.0
196,"Icreverzi, Kimberly Heathe",Critical Gender Studies,79.35,3.3200000000000003,2.0,110.0
197,"Kaplan, Sara Clarke",Critical Gender Studies,100.0,3.67,1.0,4.0
198,"Abusneineh, Bayan Abdelmajid",Critical Gender Studies,100.0,3.88,1.0,9.0
199,"Martin Sandino, Amanda Maria Yoland",Critical Gender Studies,100.0,3.88,1.0,30.0
200,"Kheshti, Roshanak",other,80.0,3.745,2.0,412.0
201,"Celleri, Maria",other,100.0,3.7099999999999995,3.0,65.0
202,"Nguyen, Ly Thuy",other,94.2,3.4033333333333338,3.0,59.0
203,"Gore, Dayo F.",other,72.1,3.545,2.0,399.0
204,"Zarate, Salvador Elias",other,99.14,3.8,5.0,121.0
205,"Dorr, Kirstie A.",other,100.0,3.716666666666667,3.0,101.0
206,"Taylor-Garcia, Daphne",other,100.0,3.745,4.0,65.0
207,"Hernandez, Jillian",other,100.0,3.8666666666666667,3.0,67.0
208,"Leigh, Brian",Chemistry,93.1,3.14,1.0,142.0
209,"Crowell, John E",Chemistry,74.1,3.2162499999999996,8.0,514.0
210,"Ghosh, Gourisankar",Chemistry,86.96666666666665,3.6366666666666667,3.0,115.0
211,"Mrse, Anthony Adrian",Chemistry,91.9,3.2,1.0,250.0
212,"Toor, Navtej",Chemistry,70.9,3.16,1.0,286.0
213,"Galperin, Michael",Chemistry,44.4,2.76,1.0,104.0
214,"Sinha, Amitabha",Chemistry,78.35,2.96,2.0,188.0
215,"Esko, Jeffrey D.",Chemistry,100.0,3.065,2.0,24.0
216,"Godula, Kamil",Chemistry,95.8,3.046666666666667,3.0,223.0
217,"Ternansky, Robert J.",Chemistry,86.775,3.10125,8.0,1027.0
218,"Weizman, Haim",Chemistry,91.10000000000001,3.132857142857143,7.0,1042.0
