,Instructor,Department,Stem,Upper Div,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled,Study Hrs/Week
190,"Ternansky, Robert J.",Chemistry,True,False,86.775,3.10125,8.0,1027.0,8.58125
191,"Weizman, Haim",Chemistry,True,False,91.10000000000001,3.132857142857143,7.0,1042.0,8.26857142857143
192,"Theodorakis, Emmanuel",Chemistry,True,False,92.55,2.91,2.0,419.0,6.07
193,"Tor, Yitzhak",Chemistry,True,False,98.5,3.415,2.0,136.0,7.215
194,"Grassian, Vicki Helene",Chemistry,True,True,89.7,3.31,1.0,77.0,4.43
195,"Sullivan, Michael N",Chemistry,True,True,82.1,3.32,1.0,80.0,4.5
196,"Hoeger, Carl",Chemistry,True,False,79.775,2.8387500000000006,8.0,1777.0,8.771250000000002
197,"Oconnor, Joseph M.",Chemistry,True,False,73.6,2.98,1.0,280.0,9.15
198,"Hirschauer, Sonia S",Chemistry,True,False,97.35,2.9450000000000003,2.0,508.0,6.6850000000000005
199,"Klosterman, Jeremy K",Chemistry,True,False,70.7375,3.0700000000000003,8.0,1088.0,9.63625
200,"Perrin, Charles L.",Chemistry,True,False,72.8,2.98,1.0,232.0,8.61
201,"Albizati, Kim F.",Chemistry,True,False,90.575,3.115,4.0,1356.0,6.805
202,"Zid, Brian M",Chemistry,True,False,92.30000000000001,3.125,2.0,513.0,5.84
203,"Brydges, Stacey",Chemistry,True,False,90.5,3.1,1.0,416.0,6.95
204,"Lam, Tin Yiu",Chemistry,True,False,94.075,3.265,4.0,1531.0,5.9975000000000005
205,"Bussey, Thomas J",Chemistry,True,False,98.89,3.5159999999999996,10.0,1352.0,5.185
206,"Swift, Robert Vernon",Chemistry,True,False,89.2,3.17,1.0,140.0,5.11
207,"Tauber, Michael",Chemistry,True,False,73.96666666666667,3.0966666666666662,3.0,245.0,9.020000000000001
208,"Young, Mark",Chemistry,True,False,77.9,2.83,1.0,228.0,6.8
209,"Kim, Judy E.",Chemistry,True,False,80.01666666666667,3.0383333333333336,6.0,1274.0,7.721666666666668
210,"Lacoske, Michelle Hill",Chemistry,True,False,95.5,3.09,1.0,119.0,11.59
211,"Johnson, Christina A",Chemistry,True,False,94.48333333333333,3.1133333333333333,6.0,1242.0,9.61
212,"Katz, Faith Erin Heffernan",Chemistry,True,False,87.5,3.04,1.0,43.0,5.7
213,"Jennings, Patricia A.",Chemistry,True,True,37.65,3.725,2.0,79.0,7.4799999999999995
214,"Wang, Wei",Chemistry,True,False,88.8,3.27,1.0,242.0,3.92
215,"Debelouchina, Galia T",Chemistry,True,False,99.05,3.555,2.0,271.0,6.09
216,"Komives, Elizabeth A",Chemistry,True,True,98.1,3.6100000000000003,2.0,222.0,6.6
217,"Joseph, Simpson",Chemistry,True,True,75.0,3.22,1.0,214.0,7.39
218,"Amaro, Rommie E",Chemistry,True,True,84.4,3.5149999999999997,2.0,283.0,5.83
219,"Sailor, Michael Joseph",Chemistry,True,True,99.0,3.505,2.0,136.0,4.375
220,"Yuen Zhou, Joel",Chemistry,True,True,94.3,3.11,1.0,71.0,6.81
221,"Opella, Stanley J",Chemistry,True,False,66.7,2.8,1.0,60.0,3.94
222,"Xiong, Wei",Chemistry,True,True,98.1,2.9699999999999998,2.0,76.0,9.075
223,"Burkart, Michael D",Chemistry,True,True,87.5,2.95,1.0,45.0,5.92
224,"Kristensen, Louise J",Chemistry,True,True,68.8,3.0,1.0,53.0,4.38
225,"Gilson, Michael K.",Chemistry,True,True,100.0,3.29,1.0,12.0,8.21
